currency_code_alpha,cntr_iso3,start_date_iso4217,end_date_iso4217,start_date_wiki,end_date_wiki
AFA,AFG,1970-01-01,2003-01-01,1925-01-01,2003-01-01
AFN,AFG,2003-01-01,2025-03-31,,
ALK,ALB,1970-01-01,1989-12-01,1946-01-01,1965-01-01
ALL,ALB,1989-12-01,2025-03-31,,
DZD,DZA,1970-01-01,2025-03-31,,
USD,ASM,1970-01-01,2025-03-31,,
ESP,AND,1970-01-01,2002-03-01,1869-01-01,1999-01-01
FRF,AND,2002-03-01,2002-03-01,1960-01-01,1999-01-01
ADP,AND,2002-03-01,2003-07-01,1869-01-01,1999-01-01
EUR,AND,2003-07-01,2025-03-31,,
AOK,AGO,1970-01-01,1991-03-01,1977-01-08,1990-09-24
AON,AGO,1991-03-01,2000-02-01,1990-09-25,1995-06-30
AOR,AGO,2000-02-01,2000-02-01,1995-07-01,1999-11-30
AOA,AGO,2000-02-01,2025-03-31,,
XCD,AIA,1970-01-01,2025-03-31,,
,ATA,1970-01-01,2025-03-31,,
XCD,ATG,1970-01-01,2025-03-31,,
ARP,ARG,1970-01-01,1985-07-01,1983-06-06,1985-06-14
ARY,ARG,1989-01-01,1990-12-01,1970-01-01,1983-06-06
ARA,ARG,1990-12-01,1992-01-01,1985-06-15,1991-12-31
ARS,ARG,1992-01-01,2025-03-31,,
RUR,ARM,1970-01-01,1994-08-01,1992-01-01,1997-12-31
AMD,ARM,1994-08-01,2025-03-31,,
AWG,ABW,1970-01-01,2025-03-31,,
AUD,AUS,1970-01-01,2025-03-31,,
ATS,AUT,1970-01-01,2002-03-01,1945-01-01,1999-01-01
EUR,AUT,2002-03-01,2025-03-31,,
RUR,AZE,1970-01-01,1994-08-01,1992-01-01,1997-12-31
AYM,AZE,1994-08-01,2005-10-01,,
AZM,AZE,2005-10-01,2005-12-01,1992-08-15,2006-01-01
AZN,AZE,2005-12-01,2025-03-31,,
BSD,BHS,1970-01-01,2025-03-31,,
BHD,BHR,1970-01-01,2025-03-31,,
BDT,BGD,1970-01-01,2025-03-31,,
BBD,BRB,1970-01-01,2025-03-31,,
RUR,BLR,1970-01-01,1994-06-01,1992-01-01,1997-12-31
BYB,BLR,1994-06-01,2001-01-01,1992-01-01,1999-12-31
BYR,BLR,2001-01-01,2017-01-01,2000-01-01,2016-06-30
BYN,BLR,2017-01-01,2025-03-31,,
BEC,BEL,1970-01-01,1990-03-01,,1990-05-01
BEL,BEL,1990-03-01,1990-03-01,,
BEF,BEL,1990-03-01,2002-03-01,1832-01-01,1999-01-01
EUR,BEL,2002-03-01,2025-03-31,,
BZD,BLZ,1970-01-01,2025-03-31,,
XOF,BEN,1970-01-01,2025-03-31,,
BMD,BMU,1970-01-01,2025-03-31,,
INR,BTN,1970-01-01,2025-03-31,,
BTN,BTN,1970-01-01,2025-03-31,,
BOP,BOL,1970-01-01,1987-02-01,1963-01-01,1987-01-01
BOB,BOL,1987-02-01,2025-03-31,,
BOV,BOL,1987-02-01,2025-03-31,,
USD,BES,1970-01-01,2025-03-31,,
BAD,BIH,1970-01-01,1998-07-01,1992-07-01,1998-02-04
BAM,BIH,1998-07-01,2025-03-31,,
BWP,BWA,1970-01-01,2025-03-31,,
NOK,BVT,1970-01-01,2025-03-31,,
BRB,BRA,1970-01-01,1986-03-01,1967-01-01,1986-02-28
BRC,BRA,1986-03-01,1989-02-01,1986-02-28,1989-01-15
BRN,BRA,1989-02-01,1990-03-01,1989-01-16,1990-03-15
BRE,BRA,1990-03-01,1993-03-01,1990-03-15,1993-08-01
BRR,BRA,1993-03-01,1994-07-01,1993-08-01,1994-06-30
BRL,BRA,1994-07-01,2025-03-31,,
USD,IOT,1970-01-01,2025-03-31,,
BND,BRN,1970-01-01,2025-03-31,,
BGJ,BGR,1989-01-01,1990-12-01,1881-01-01,1952-01-01
BGK,BGR,1989-01-01,1990-12-01,1952-01-01,1962-01-01
BGL,BGR,1990-12-01,2003-11-01,1962-01-01,1999-08-31
BGN,BGR,2003-11-01,2025-03-31,,
XOF,BFA,1970-01-01,2025-03-31,,
BUK,MMR,1970-01-01,1990-02-01,,
BIF,BDI,1970-01-01,2025-03-31,,
CVE,CPV,1970-01-01,2025-03-31,,
KHR,KHM,1970-01-01,2025-03-31,,
XAF,CMR,1970-01-01,2025-03-31,,
CAD,CAN,1970-01-01,2025-03-31,,
KYD,CYM,1970-01-01,2025-03-31,,
XAF,CAF,1970-01-01,2025-03-31,,
XAF,TCD,1970-01-01,2025-03-31,,
CLP,CHL,1970-01-01,2025-03-31,,
CLF,CHL,1970-01-01,2025-03-31,,
CNY,CHN,1970-01-01,2025-03-31,,
AUD,CXR,1970-01-01,2025-03-31,,
AUD,CCK,1970-01-01,2025-03-31,,
COP,COL,1970-01-01,2025-03-31,,
COU,COL,1970-01-01,2025-03-31,,
KMF,COM,1970-01-01,2025-03-31,,
CDF,COD,1999-06-01,2025-03-31,,
XAF,COG,1970-01-01,2025-03-31,,
NZD,COK,1970-01-01,2025-03-31,,
CRC,CRI,1970-01-01,2025-03-31,,
HRD,HRV,1970-01-01,1995-01-01,1991-12-23,1994-05-30
HRK,HRV,1995-01-01,2015-06-01,1994-05-30,2023-01-01
HRK,HRV,2015-06-01,2023-01-01,1994-05-30,2023-01-01
EUR,HRV,2023-01-01,2025-03-31,,
CUC,CUB,1970-01-01,2021-06-01,2009-03-01,2021-06-30
CUP,CUB,2021-06-01,2025-03-31,,
ANG,CUW,1970-01-01,2025-03-01,,2025-03-31
XCG,CUW,2025-03-01,2025-03-31,,
CYP,CYP,1970-01-01,2008-01-01,1879-01-01,2006-01-01
EUR,CYP,2008-01-01,2025-03-31,,
CZK,CZE,1993-03-01,2025-03-31,,
CSJ,CZE,1989-01-01,1990-12-01,,1953-01-01
CSK,CZE,1990-12-01,1993-03-01,1953-01-01,1993-02-08
XOF,CIV,1970-01-01,2025-03-31,,
DKK,DNK,1970-01-01,2025-03-31,,
DJF,DJI,1970-01-01,2025-03-31,,
XCD,DMA,1970-01-01,2025-03-31,,
DOP,DOM,1970-01-01,2025-03-31,,
ECS,ECU,1970-01-01,2000-09-01,1884-01-01,2000-02-29
ECV,ECU,2000-09-01,2000-09-01,1993-01-01,2000-02-29
USD,ECU,2000-09-01,2025-03-31,,
EGP,EGY,1970-01-01,2025-03-31,,
SVC,SLV,1970-01-01,2025-03-31,,
USD,SLV,1970-01-01,2025-03-31,,
GQE,GNQ,1970-01-01,1986-06-01,1975-01-01,1985-12-31
XAF,GNQ,1986-06-01,2025-03-31,,
ERN,ERI,1970-01-01,2025-03-31,,
EEK,EST,1970-01-01,2011-01-01,1992-01-01,2011-01-01
EUR,EST,2011-01-01,2025-03-31,,
SZL,SWZ,2018-08-01,2025-03-31,,
ETB,ETH,1970-01-01,2025-03-31,,
XEU,not found,1970-01-01,1999-01-01,1979-03-13,1998-12-31
EUR,not found,2013-11-01,2025-03-31,,
FKP,FLK,1970-01-01,2025-03-31,,
DKK,FRO,1970-01-01,2025-03-31,,
FJD,FJI,1970-01-01,2025-03-31,,
FIM,FIN,1970-01-01,2002-03-01,1860-01-01,1999-01-01
EUR,FIN,2002-03-01,2025-03-31,,
FRF,FRA,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,FRA,2002-03-01,2025-03-31,,
FRF,GUF,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,GUF,2002-03-01,2025-03-31,,
XPF,PYF,1970-01-01,2025-03-31,,
FRF,ATF,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,ATF,2002-03-01,2025-03-31,,
XAF,GAB,1970-01-01,2025-03-31,,
GMD,GMB,1970-01-01,2025-03-31,,
RUR,GEO,1970-01-01,1994-04-01,1992-01-01,1997-12-31
GEK,GEO,1994-04-01,1995-10-01,1993-04-05,1995-10-02
GEL,GEO,1995-10-01,2025-03-31,,
DDM,not found,1990-07-01,1990-09-01,1948-06-21,1990-07-01
DEM,DEU,1970-01-01,2002-03-01,1948-01-01,1999-01-01
EUR,DEU,2002-03-01,2025-03-31,,
GHP,GHA,1970-01-01,2007-06-01,,2007-06-18
GHC,GHA,2007-06-01,2008-01-01,1967-01-01,2007-07-01
GHS,GHA,2008-01-01,2025-03-31,,
GIP,GIB,1970-01-01,2025-03-31,,
GRD,GRC,1970-01-01,2002-03-01,1954-05-01,2001-01-01
EUR,GRC,2002-03-01,2025-03-31,,
DKK,GRL,1970-01-01,2025-03-31,,
XCD,GRD,1970-01-01,2025-03-31,,
FRF,GLP,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,GLP,2002-03-01,2025-03-31,,
USD,GUM,1970-01-01,2025-03-31,,
GTQ,GTM,1970-01-01,2025-03-31,,
GBP,GGY,1970-01-01,2025-03-31,,
GNS,GIN,1970-01-01,1986-02-01,1971-01-01,1985-01-01
GNE,GIN,1986-02-01,1989-12-01,1971-01-01,1985-12-31
GNF,GIN,1989-12-01,2025-03-31,,
GWE,GNB,1978-01-01,1981-12-01,,
GWP,GNB,1981-12-01,1997-05-01,1975-01-01,1997-05-31
XOF,GNB,1997-05-01,2025-03-31,,
GYD,GUY,1970-01-01,2025-03-31,,
HTG,HTI,1970-01-01,2025-03-31,,
USD,HTI,1970-01-01,2025-03-31,,
AUD,HMD,1970-01-01,2025-03-31,,
EUR,VAT,2002-03-01,2025-03-31,,
ITL,VAT,1970-01-01,2002-03-01,1861-01-01,1999-01-01
HNL,HND,1970-01-01,2025-03-31,,
HKD,HKG,1970-01-01,2025-03-31,,
HUF,HUN,1970-01-01,2025-03-31,,
ISJ,ISL,1989-01-01,1990-12-01,1922-01-01,1981-06-30
ISK,ISL,1990-12-01,2025-03-31,,
INR,IND,1970-01-01,2025-03-31,,
IDR,IDN,1970-01-01,2025-03-31,,
XDR,not found,2013-11-01,2025-03-31,,
IRR,IRN,1970-01-01,2025-03-31,,
IQD,IRQ,1970-01-01,2025-03-31,,
IEP,IRL,1970-01-01,2002-03-01,1938-01-01,1999-01-01
EUR,IRL,2002-03-01,2025-03-31,,
GBP,IMN,1970-01-01,2025-03-31,,
ILP,ISR,1978-01-01,1981-12-01,1948-01-01,1980-02-20
ILR,ISR,1989-01-01,1990-12-01,1980-02-24,1985-12-31
ILS,ISR,1990-12-01,2025-03-31,,
ITL,ITA,1970-01-01,2002-03-01,1861-01-01,1999-01-01
EUR,ITA,2002-03-01,2025-03-31,,
JMD,JAM,1970-01-01,2025-03-31,,
JPY,JPN,1970-01-01,2025-03-31,,
GBP,JEY,1970-01-01,2025-03-31,,
JOD,JOR,1970-01-01,2025-03-31,,
RUR,KAZ,1970-01-01,1994-05-01,1992-01-01,1997-12-31
KZT,KAZ,1994-05-01,2025-03-31,,
KES,KEN,1970-01-01,2025-03-31,,
AUD,KIR,1970-01-01,2025-03-31,,
KPW,PRK,1970-01-01,2025-03-31,,
KRW,KOR,1970-01-01,2025-03-31,,
KWD,KWT,1970-01-01,2025-03-31,,
RUR,KGZ,1970-01-01,1993-01-01,1992-01-01,1997-12-31
KGS,KGZ,1993-01-01,2025-03-31,,
LAJ,LAO,1970-01-01,1979-12-01,1965-01-01,1979-12-31
LAK,LAO,1979-12-01,2025-03-31,,
LVR,LVA,1970-01-01,1994-12-01,1992-05-04,1993-03-05
LVL,LVA,1994-12-01,2014-01-01,1993-03-05,2014-01-01
EUR,LVA,2014-01-01,2025-03-31,,
LBP,LBN,1970-01-01,2025-03-31,,
LSM,LSO,1970-01-01,1985-05-01,,
ZAL,LSO,1985-05-01,1995-03-01,1985-09-01,1995-03-13
LSL,LSO,1995-03-01,2025-03-31,,
ZAR,LSO,1995-03-01,2025-03-31,,
LRD,LBR,1970-01-01,2025-03-31,,
LYD,LBY,1970-01-01,2025-03-31,,
CHF,LIE,1970-01-01,2025-03-31,,
LTT,LTU,1970-01-01,1993-07-01,,
LTL,LTU,1993-07-01,2014-12-01,1993-01-01,2015-01-01
EUR,LTU,2014-12-01,2025-03-31,,
LUC,LUX,1970-01-01,1990-03-01,,
LUL,LUX,1990-03-01,1990-03-01,,
LUF,LUX,1990-03-01,2002-03-01,1944-01-01,1999-01-01
EUR,LUX,2002-03-01,2025-03-31,,
MOP,MAC,1970-01-01,2025-03-31,,
MGF,MDG,1970-01-01,2004-12-01,1963-07-01,2005-01-01
MGA,MDG,2004-12-01,2025-03-31,,
MWK,MWI,1970-01-01,2016-02-01,,
MWK,MWI,2016-02-01,2025-03-31,,
MYR,MYS,1970-01-01,2025-03-31,,
MVQ,MDV,1970-01-01,1989-12-01,,1981-12-31
MVR,MDV,1989-12-01,2025-03-31,,
MLF,MLI,1970-01-01,1984-11-01,1962-01-01,1984-01-01
XOF,MLI,1984-11-01,2025-03-31,,
MTP,MLT,1970-01-01,1983-06-01,,
MTL,MLT,1983-06-01,2008-01-01,1972-05-26,2006-01-01
EUR,MLT,2008-01-01,2025-03-31,,
USD,MHL,1970-01-01,2025-03-31,,
FRF,MTQ,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,MTQ,2002-03-01,2025-03-31,,
MRO,MRT,1970-01-01,2017-12-01,1973-06-29,2018-01-01
MRU,MRT,2017-12-01,2025-03-31,,
MUR,MUS,1970-01-01,2025-03-31,,
FRF,MYT,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,MYT,2002-03-01,2025-03-31,,
XUA,not found,2013-11-01,2025-03-31,,
MXP,MEX,1970-01-01,1993-01-01,,1993-03-31
MXN,MEX,1993-01-01,2025-03-31,,
MXV,MEX,1993-01-01,2025-03-31,,
USD,FSM,1970-01-01,2025-03-31,,
MDL,MDA,1993-12-01,2025-03-31,,
RUR,MDA,1970-01-01,1993-12-01,1992-01-01,1997-12-31
FRF,MCO,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,MCO,2002-03-01,2025-03-31,,
MNT,MNG,1970-01-01,2025-03-31,,
EUR,MNE,1970-01-01,2025-03-31,,
XCD,MSR,1970-01-01,2025-03-31,,
MAD,MAR,1970-01-01,2025-03-31,,
MZE,MOZ,1978-01-01,1981-12-01,1914-01-01,1980-01-01
MZM,MOZ,1981-12-01,2006-06-01,1980-01-01,2006-06-30
MZN,MOZ,2006-06-01,2025-03-31,,
MMK,MMR,1990-02-01,2025-03-31,,
NAD,NAM,1970-01-01,2025-03-31,,
ZAR,NAM,1970-01-01,2025-03-31,,
AUD,NRU,1970-01-01,2025-03-31,,
NPR,NPL,1970-01-01,2025-03-31,,
NLG,NLD,1970-01-01,2002-03-01,,1999-01-01
EUR,NLD,2002-03-01,2025-03-31,,
ANG,not found,1970-01-01,2010-10-01,,2025-03-31
XPF,NCL,1970-01-01,2025-03-31,,
NZD,NZL,1970-01-01,2025-03-31,,
NIC,NIC,1970-01-01,1990-10-01,1988-01-01,1990-10-31
NIO,NIC,1990-10-01,2025-03-31,,
XOF,NER,1970-01-01,2025-03-31,,
NGN,NGA,1970-01-01,2025-03-31,,
NZD,NIU,1970-01-01,2025-03-31,,
AUD,NFK,1970-01-01,2025-03-31,,
MKD,MKD,1970-01-01,2025-03-31,,
USD,MNP,1970-01-01,2025-03-31,,
NOK,NOR,1970-01-01,2025-03-31,,
OMR,OMN,1970-01-01,2025-03-31,,
PKR,PAK,1970-01-01,2025-03-31,,
USD,PLW,1970-01-01,2025-03-31,,
,PSE,1970-01-01,2025-03-31,,
PAB,PAN,1970-01-01,2025-03-31,,
USD,PAN,1970-01-01,2025-03-31,,
PGK,PNG,1970-01-01,2025-03-31,,
PYG,PRY,1970-01-01,2025-03-31,,
PES,PER,1970-01-01,1986-02-01,1863-01-01,1985-01-01
PEH,PER,1989-01-01,1990-12-01,1863-01-01,1985-02-01
PEI,PER,1990-12-01,1991-07-01,1985-02-01,1991-10-01
PEN,PER,1991-07-01,2015-12-01,,
PEN,PER,2015-12-01,2025-03-31,,
PHP,PHL,1970-01-01,2025-03-31,,
NZD,PCN,1970-01-01,2025-03-31,,
PLZ,POL,1970-01-01,1997-01-01,1950-10-30,1994-12-31
PLN,POL,1997-01-01,2025-03-31,,
PTE,PRT,1970-01-01,2002-03-01,1911-05-22,1999-01-01
EUR,PRT,2002-03-01,2025-03-31,,
USD,PRI,1970-01-01,2025-03-31,,
QAR,QAT,1970-01-01,2025-03-31,,
ROK,ROU,1989-01-01,1990-12-01,1947-01-01,1952-01-01
ROL,ROU,1990-12-01,2005-06-01,1952-01-28,2005-01-01
RON,ROU,2005-06-01,2015-06-01,,
RON,ROU,2015-06-01,2025-03-31,,
RUR,RUS,1970-01-01,2004-01-01,1992-01-01,1997-12-31
RUB,RUS,2004-01-01,2025-03-31,,
RWF,RWA,1970-01-01,2025-03-31,,
FRF,REU,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,REU,2002-03-01,2025-03-31,,
EUR,BLM,1999-01-01,2025-03-31,,
SHP,SHN,1970-01-01,2025-03-31,,
XCD,KNA,1970-01-01,2025-03-31,,
XCD,LCA,1970-01-01,2025-03-31,,
FRF,MAF,1970-01-01,1999-01-01,1960-01-01,1999-01-01
EUR,MAF,1999-01-01,2025-03-31,,
FRF,SPM,1970-01-01,2002-03-01,1960-01-01,1999-01-01
EUR,SPM,2002-03-01,2025-03-31,,
XCD,VCT,1970-01-01,2025-03-31,,
FRF,BLM,1970-01-01,1999-01-01,1960-01-01,1999-01-01
WST,WSM,1970-01-01,2025-03-31,,
ITL,SMR,1970-01-01,2002-03-01,1861-01-01,1999-01-01
EUR,SMR,2002-03-01,2025-03-31,,
STD,STP,1970-01-01,2017-12-01,1977-01-01,2018-04-01
STN,STP,2017-12-01,2025-03-31,,
SAR,SAU,1970-01-01,2025-03-31,,
XOF,SEN,1970-01-01,2025-03-31,,
RSD,SRB,1970-01-01,2025-03-31,,
CSD,not found,1970-01-01,2006-10-01,2003-07-03,2006-10-25
EUR,not found,2006-10-01,2006-10-01,,
SCR,SYC,1970-01-01,2025-03-31,,
SLL,SLE,1970-01-01,2023-12-01,,
SLE,SLE,2023-12-01,2025-03-31,,
SGD,SGP,1970-01-01,2025-03-31,,
ANG,SXM,1970-01-01,2025-03-01,,2025-03-31
XCG,SXM,2025-03-01,2025-03-31,,
XSU,not found,2013-11-01,2025-03-31,,
SKK,SVK,1970-01-01,2009-01-01,1993-02-08,2009-01-01
EUR,SVK,2009-01-01,2025-03-31,,
SIT,SVN,1970-01-01,2007-01-01,1991-10-08,2007-01-01
EUR,SVN,2007-01-01,2025-03-31,,
SBD,SLB,1970-01-01,2025-03-31,,
SOS,SOM,1970-01-01,2025-03-31,,
ZAL,ZAF,1970-01-01,1995-03-01,1985-09-01,1995-03-13
ZAR,ZAF,1995-03-01,2025-03-31,,
,SGS,1970-01-01,2025-03-31,,
SDG,SSD,1970-01-01,2012-09-01,,
SSP,SSD,2012-09-01,2025-03-31,,
RHD,ZWE,1978-01-01,1981-12-01,1970-01-01,1980-01-01
ESA,ESP,1978-01-01,1981-12-01,1978-01-01,1981-01-01
ESB,ESP,1981-12-01,1994-12-01,,1994-12-01
ESP,ESP,1994-12-01,2002-03-01,1869-01-01,1999-01-01
EUR,ESP,2002-03-01,2025-03-31,,
LKR,LKA,1970-01-01,2025-03-31,,
SDP,SDN,1970-01-01,1998-06-01,1956-01-01,1992-06-08
SDD,SDN,1998-06-01,2007-07-01,1992-06-08,2007-01-10
SDG,SDN,2007-07-01,2025-03-31,,
SRG,SUR,1970-01-01,2003-12-01,1942-01-01,2004-01-01
SRD,SUR,2003-12-01,2025-03-31,,
NOK,SJM,1970-01-01,2025-03-31,,
SZL,SWZ,1970-01-01,2018-08-01,,
SEK,SWE,1970-01-01,2025-03-31,,
CHC,CHE,1970-01-01,2004-11-01,,2004-12-01
CHF,CHE,2004-11-01,2025-03-31,,
CHE,CHE,2004-11-01,2025-03-31,,
CHW,CHE,2004-11-01,2025-03-31,,
SYP,SYR,1970-01-01,2025-03-31,,
TWD,TWN,1970-01-01,2025-03-31,,
RUR,TJK,1970-01-01,1995-05-01,1992-01-01,1997-12-31
TJR,TJK,1995-05-01,2001-04-01,1995-05-10,2000-10-30
TJS,TJK,2001-04-01,2025-03-31,,
TZS,TZA,1970-01-01,2025-03-31,,
THB,THA,1970-01-01,2025-03-31,,
IDR,TLS,1970-01-01,2002-07-01,,
TPE,TLS,2002-07-01,2002-11-01,1959-01-01,1976-01-01
USD,TLS,2002-11-01,2025-03-31,,
XOF,TGO,1970-01-01,2025-03-31,,
NZD,TKL,1970-01-01,2025-03-31,,
TOP,TON,1970-01-01,2025-03-31,,
TTD,TTO,1970-01-01,2025-03-31,,
TND,TUN,1970-01-01,2025-03-31,,
TRL,TUR,1970-01-01,2005-12-01,1923-01-01,2005-12-31
TRY,TUR,2005-12-01,2009-01-01,,
RUR,TKM,1970-01-01,1993-10-01,1992-01-01,1997-12-31
TMM,TKM,1993-10-01,2009-01-01,1993-11-01,2008-12-31
TMT,TKM,2009-01-01,2025-03-31,,
USD,TCA,1970-01-01,2025-03-31,,
AUD,TUV,1970-01-01,2025-03-31,,
TRY,TUR,2009-01-01,2025-03-31,,
UGS,UGA,1970-01-01,1987-05-01,1966-01-01,1987-12-31
UGW,UGA,1989-01-01,1990-12-01,1989-01-01,1990-01-01
UGX,UGA,1990-12-01,2025-03-31,,
UAK,UKR,1970-01-01,1996-09-01,1992-10-01,1996-09-01
UAH,UKR,1996-09-01,2025-03-31,,
SUR,not found,1970-01-01,1990-12-01,1961-01-01,1991-12-26
AED,ARE,1970-01-01,2025-03-31,,
GBP,GBR,1970-01-01,2025-03-31,,
USS,USA,1970-01-01,2014-03-01,,2014-03-28
USD,UMI,1970-01-01,2025-03-31,,
USD,USA,2014-03-01,2025-03-31,,
USN,USA,2014-03-01,2025-03-31,,
UYN,URY,1970-01-01,1989-12-01,1896-01-01,1975-07-01
UYP,URY,1989-12-01,1993-03-01,1975-07-01,1993-03-01
UYU,URY,1993-03-01,2025-03-31,,
UYI,URY,1993-03-01,2025-03-31,,
UYW,URY,1993-03-01,2025-03-31,,
RUR,UZB,1970-01-01,1994-07-01,1992-01-01,1997-12-31
UZS,UZB,1994-07-01,2025-03-31,,
VUV,VUT,1970-01-01,2025-03-31,,
VEB,VEN,1970-01-01,2008-01-01,1879-03-31,2008-01-01
VEF,VEN,2008-01-01,2011-12-01,2008-01-01,2018-08-20
VEF,VEN,1970-01-01,2016-02-01,2008-01-01,2018-08-20
VEF,VEN,2016-02-01,2018-08-01,2008-01-01,2018-08-20
VES,VEN,2018-08-01,2025-03-31,,
VED,VEN,2018-08-01,2025-03-31,,
VND,VNM,1990-12-01,2025-03-31,,
VNC,VNM,1989-01-01,1990-12-01,,
USD,VGB,1970-01-01,2025-03-31,,
USD,VIR,1970-01-01,2025-03-31,,
XPF,WLF,1970-01-01,2025-03-31,,
MAD,ESH,1970-01-01,2025-03-31,,
YER,YEM,1991-09-01,2025-03-31,,
YDD,YEM,1970-01-01,1991-09-01,1965-01-01,1996-06-11
YUD,not found,1970-01-01,1990-01-01,1966-01-01,1989-12-31
YUN,not found,1990-01-01,1995-11-01,1990-01-01,1992-06-30
YUM,not found,1995-11-01,2003-07-01,1994-01-24,2003-07-02
ZRZ,COD,1970-01-01,1994-02-01,1967-01-01,1993-01-01
ZRN,COD,1994-02-01,1999-06-01,1993-01-01,1997-01-01
ZMK,ZMB,1970-01-01,2012-12-01,1968-01-16,2013-01-01
ZMW,ZMB,2012-12-01,2025-03-31,,
ZWC,ZWE,1970-01-01,1989-12-01,1970-02-17,1980-01-01
ZWD,ZWE,1989-12-01,2006-08-01,1980-04-18,2006-07-31
ZWN,ZWE,2006-08-01,2006-09-01,2006-08-01,2008-07-31
ZWD,ZWE,2006-09-01,2008-08-01,1980-04-18,2006-07-31
ZWR,ZWE,2008-08-01,2009-06-01,2008-08-01,2009-02-02
ZWL,ZWE,2009-06-01,2024-09-01,2009-02-02,2024-09-01
ZWG,ZWE,2024-09-01,2025-03-31,,
XBA,not found,2013-11-01,2025-03-31,,
XFO,not found,1970-01-01,2006-10-01,1803-01-01,2003-01-01
XBB,not found,2013-11-01,2025-03-31,,
XRE,not found,1970-01-01,1999-11-01,,
XBC,not found,2013-11-01,2025-03-31,,
XBD,not found,2013-11-01,2025-03-31,,
XFU,not found,1970-01-01,2013-11-01,,2013-11-07
XTS,not found,2013-11-01,2025-03-31,,
XXX,not found,2013-11-01,2025-03-31,,
XAU,not found,2013-11-01,2025-03-31,,
XPD,not found,2013-11-01,2025-03-31,,
XPT,not found,2013-11-01,2025-03-31,,
XAG,not found,2013-11-01,2025-03-31,,
FIM,ALA,1970-01-01,2002-03-01,1860-01-01,1999-01-01
EUR,ALA,2002-03-01,2025-03-31,,
