Earthquake,Record,,Rigid block (cm)Normal,Rigid block (cm)Inverse,Rigid block (cm)Average,,Decoupled (cm)Normal,Decoupled (cm)Inverse,Decoupled (cm)Average,,Coupled (cm)Normal,Coupled (cm)Inverse,Coupled (cm)Average,,kmax (g),Vs (m/s),Damping (%),k_y,scale factor,height,vs_slope,vs_base,damp_ratio,ref_strain,soil_model,si_units
Cape Mendocino 1992,PET-090,,22.172,32.537,27.354,,40.935,47.097,44.016,,37.553,47.672,42.613,,0.687,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,72.983,33.049,53.016,,86.033,49.474,67.753,,84.7,47.986,66.343,,0.775,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,7.798,2.832,5.315,,19.49,11.502,15.496,,14.854,10.813,12.834,,0.451,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,0.008,0.08,0.044,,0.083,0,0,,0.143,0,0.071,,0.206,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,2.999,1.717,2.358,,10.264,10.473,10.369,,7.405,7.349,7.377,,0.484,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,33.257,29.112,31.184,,59.071,58.52,58.795,,53.848,43.153,48.5,,1.104,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,115.795,101.007,108.401,,151.016,147.698,149.357,,137.951,129.279,133.615,,0.84,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,0.036,0.551,0.293,,1.557,2.969,2.263,,1.342,2.652,1.997,,0.26,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,8.972,7.366,8.169,,3.314,2.441,2.878,,3.236,2.58,2.908,,0.416,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,10.211,21.857,16.034,,18.812,36.285,27.548,,15.944,35.716,25.83,,0.508,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,2.856,4.002,3.429,,3.568,6.284,4.926,,3.024,5.844,4.434,,0.333,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,0.393,0.105,0.249,,0.329,1.089,0.709,,0.399,0.91,0.655,,0.262,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,22.577,37.465,30.021,,33.071,52.191,42.631,,30.659,50.282,40.47,,1.254,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,7.634,7.491,7.562,,14.144,9.944,12.044,,11.285,8.451,9.868,,0.532,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,8.206,9.379,8.792,,22.076,16.416,19.246,,16.247,11.597,13.922,,0.571,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,0.931,0.606,0.768,,0.954,2.495,1.724,,1.099,2.127,1.613,,0.265,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,29.939,43.742,36.841,,50.234,74.005,62.12,,38.455,64.013,51.234,,1.226,600,0.25,0.15,1,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,22.172,32.537,27.354,,45.993,43.268,44.63,,29.26,32.872,31.066,,0.661,260.515,0.38,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,72.983,33.049,53.016,,106.611,40.76,73.685,,105.791,36.648,71.219,,0.554,308.514,0.355,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,7.798,2.832,5.315,,13.771,12.363,13.067,,11.081,10.253,10.667,,0.428,384.467,0.314,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,0.008,0.08,0.044,,0.013,0,0.006,,0.034,0,0.017,,0.175,523.707,0.245,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,2.999,1.717,2.358,,1.515,1.778,1.647,,1.662,2.136,1.899,,0.272,466.234,0.273,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,33.257,29.112,31.184,,41.028,39.651,40.34,,32.361,33.095,32.728,,0.556,307.994,0.355,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,115.795,101.007,108.401,,169.533,171.896,170.714,,151.355,138.774,145.064,,0.662,238.001,0.392,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,0.036,0.551,0.293,,2.271,4.799,3.535,,2.011,4.078,3.045,,0.255,476.398,0.268,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,8.972,7.366,8.169,,1.653,0.877,1.265,,1.978,1.157,1.567,,0.289,465.422,0.273,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,10.211,21.857,16.034,,23.711,41.273,32.492,,19.97,37.733,28.851,,0.519,326.817,0.345,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,2.856,4.002,3.429,,3.468,4.997,4.232,,3.436,4.688,4.062,,0.321,458.824,0.276,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,0.393,0.105,0.249,,0.211,0.724,0.468,,0.323,0.709,0.516,,0.229,488.219,0.262,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,22.577,37.465,30.021,,41.47,47.951,44.711,,27.534,36.147,31.84,,0.627,252.081,0.384,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,7.634,7.491,7.562,,9.85,9.686,9.768,,7.206,7.869,7.537,,0.411,392.592,0.31,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,8.206,9.379,8.792,,8.019,9.318,8.668,,7.884,8.884,8.384,,0.372,421.039,0.295,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,0.931,0.606,0.768,,0.731,0.525,0.628,,0.865,0.712,0.789,,0.208,502.612,0.255,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,29.939,43.742,36.841,,32.397,33.846,33.122,,25.522,28.37,26.946,,0.694,293.283,0.363,0.15,1,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,100,109.4,104.7,,165,153.4,159.2,,132.3,138.9,135.6,,1,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,160.4,145.9,153.2,,240.6,242.9,241.7,,216.4,201.7,209.1,,1.2,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,43.6,37.6,40.6,,55,49.3,52.2,,41.4,38.8,40.1,,1,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,95.9,91.6,93.7,,148,152.3,150.1,,136.1,113.9,125,,1.4,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,31.5,26,28.8,,20.3,16.9,18.6,,17.8,14.7,16.2,,0.5,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,303.1,309.2,306.1,,384.4,377.3,380.8,,373.6,370,371.8,,1.4,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,90,90.4,90.2,,109.5,107.9,108.7,,95.2,96.9,96,,0.8,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,33.5,51.4,42.5,,57.5,83.6,70.5,,42.6,69.3,56,,1,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,21.1,33.1,27.1,,29.3,45.1,37.2,,28.3,41.7,35,,1,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,60.1,48,54,,82.2,71.6,76.9,,61.5,54.1,57.8,,1.1,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,57.8,90.8,74.3,,95.9,131.5,113.7,,77.1,106.2,91.6,,1.3,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,955.5,422.6,689.1,,1009,477.2,743.1,,981,460.4,720.7,,1.4,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,45,40.7,42.9,,99.2,100.6,99.9,,52.4,54.8,53.6,,0.9,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,504.7,411,457.8,,596,533,564.5,,582.6,470.6,526.6,,1.4,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,758.8,743.1,750.9,,944.2,942.2,943.2,,934.8,948.4,941.6,,1.4,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,15.4,15.1,15.3,,33.6,25.6,29.6,,25.9,18.7,22.3,,0.5,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,257.8,280.8,269.3,,329.9,339,334.5,,305.8,338.2,322,,1,600,0.2,0.1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,100,109.4,104.7,,114.2,101,107.6,,114.4,95,104.7,,0.8,205,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,160.4,145.9,153.2,,168,154.6,161.3,,137,134.1,135.6,,0.7,239.4,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,43.6,37.6,40.6,,31.3,31.5,31.4,,30.3,31.2,30.7,,0.6,380.5,0.3,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,95.9,91.6,93.7,,115.3,104.4,109.9,,90.3,80.7,85.5,,0.6,273.3,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,31.5,26,28.8,,13.1,8.7,10.9,,14.6,9.5,12,,0.3,443.7,0.3,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,303.1,309.2,306.1,,380.1,306.9,343.5,,334.1,236.8,285.5,,0.9,151.8,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,90,90.4,90.2,,103.7,96.8,100.3,,77.7,67.6,72.7,,0.6,312.7,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,33.5,51.4,42.5,,47.7,59.2,53.4,,38,46.9,42.5,,0.7,326.3,0.3,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,21.1,33.1,27.1,,43.2,50.2,46.7,,26.4,35.4,30.9,,0.6,295.4,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,60.1,48,54,,33.2,48.8,41,,29.7,40.8,35.2,,0.6,292.8,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,57.8,90.8,74.3,,71.8,69.7,70.7,,50.5,59.8,55.2,,0.7,284.3,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,955.5,422.6,689.1,,1247.2,457.6,852.4,,1183.7,426,804.9,,0.7,191.3,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,45,40.7,42.9,,25.8,27.7,26.8,,25.3,27.7,26.5,,0.4,410.8,0.3,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,504.7,411,457.8,,557.4,399.1,478.2,,426.6,332.6,379.6,,0.7,115.7,0.3,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,758.8,743.1,750.9,,610.4,697.3,653.8,,538.8,558.5,548.6,,0.8,127.6,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,15.4,15.1,15.3,,19.7,19.6,19.6,,18.4,17.3,17.8,,0.3,431.4,0.3,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,257.8,280.8,269.3,,463.5,451.2,457.4,,348.3,336.8,342.5,,0.7,238.2,0.4,0.1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,42.1,57.4,49.8,,74.4,83.4,78.9,,66,80.4,73.2,,1,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,72.4,55.1,63.7,,127.1,117,122.1,,107.2,103.5,105.3,,1.2,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,15.8,14.4,15.1,,23.2,18.4,20.8,,16,15.1,15.5,,1,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,41,35.3,38.2,,73.3,72.1,72.7,,66.6,53.1,59.8,,1.4,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,10.3,8.4,9.3,,3.7,2.6,3.1,,3.7,2.8,3.2,,0.5,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,118,178.4,148.2,,167.6,234.8,201.2,,162.5,224.5,193.5,,1.4,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,35.4,37.3,36.4,,38.1,48.9,43.5,,35.3,45.8,40.5,,0.8,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,10.5,18.1,14.3,,20.4,33.7,27,,14.5,30.1,22.3,,1,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,4,15.2,9.6,,10.1,22.9,16.5,,8.3,22.5,15.4,,1,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,30.9,25.4,28.2,,48.9,40.2,44.6,,36.5,29.2,32.9,,1.1,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,22.7,33.2,28,,39.8,60.1,50,,31.1,51.6,41.3,,1.3,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,273.2,126.5,199.8,,300.2,165.4,232.8,,294,160.4,227.2,,1.4,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,14.1,10.6,12.3,,43.8,44.9,44.4,,26.9,27.6,27.2,,0.9,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,241,217.1,229.1,,302.7,296.5,299.6,,279.9,270.8,275.4,,1.4,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,329.4,315.4,322.4,,457,446.3,451.6,,469,415.2,442.1,,1.4,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,3,4.5,3.7,,9.4,5.9,7.7,,7.3,4.7,6,,0.5,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,85.9,93,89.4,,121.9,128.7,125.3,,110.7,124.6,117.7,,1,600,0.2,0.2,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,42.1,57.4,49.8,,46.3,53.9,50.1,,39.1,49,44.1,,0.8,205,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,72.4,55.1,63.7,,67.3,61.7,64.5,,61,56.9,58.9,,0.7,239.4,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,15.8,14.4,15.1,,7.2,4.5,5.9,,7.5,5.5,6.5,,0.6,380.5,0.3,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,41,35.3,38.2,,37.3,33.7,35.5,,31.5,31.8,31.6,,0.6,273.3,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,10.3,8.4,9.3,,1.3,0.8,1.1,,1.8,1.1,1.5,,0.3,443.7,0.3,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,118,178.4,148.2,,159.6,140,149.8,,142.9,109.9,126.4,,0.9,151.8,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,35.4,37.3,36.4,,38.3,33.8,36,,29.8,26.5,28.2,,0.6,312.7,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,10.5,18.1,14.3,,11.9,14.1,13,,11.1,12.4,11.7,,0.7,326.3,0.3,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,4,15.2,9.6,,17.1,24.4,20.7,,13.2,19.4,16.3,,0.6,295.4,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,30.9,25.4,28.2,,14.3,23.3,18.8,,13.4,20.6,17,,0.6,292.8,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,22.7,33.2,28,,19.8,21.1,20.4,,18.1,19,18.6,,0.7,284.3,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,273.2,126.5,199.8,,413.5,148.6,281,,394.7,130,262.4,,0.7,191.3,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,14.1,10.6,12.3,,4.5,6,5.3,,5.1,6.8,5.9,,0.4,410.8,0.3,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,241,217.1,229.1,,223,173.3,198.2,,193.9,167.4,180.7,,0.7,115.7,0.3,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,329.4,315.4,322.4,,210.3,250.8,230.6,,185.1,193.5,189.3,,0.8,127.6,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,3,4.5,3.7,,1.3,2.2,1.8,,1.7,2.8,2.2,,0.3,431.4,0.3,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,85.9,93,89.4,,161.1,159.9,160.5,,134.6,130.2,132.4,,0.7,238.2,0.4,0.2,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,20.7,31.5,26.1,,40,48,44,,40.4,49.8,45.1,,1,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,35.1,22.5,28.8,,76,59.9,68,,61.6,52.7,57.1,,1.2,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,7.5,6,6.8,,11.2,7.9,9.6,,8.2,6.5,7.4,,1,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,20.6,14.3,17.5,,40.9,34.6,37.7,,37.3,25.6,31.5,,1.4,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,3.7,2.9,3.3,,1.1,0.2,0.7,,1.1,0.5,0.8,,0.5,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,54,109.3,81.7,,90.5,156.3,123.4,,76.5,154.9,115.7,,1.4,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,14.3,16.3,15.3,,15.2,23.8,19.5,,13.5,21.5,17.5,,0.8,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,5.2,7.3,6.3,,8.6,15.4,12,,6.4,14.2,10.3,,1,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0.4,6.9,3.7,,0.7,12.8,6.7,,0.7,11.7,6.2,,1,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,16,15.6,15.8,,29.5,20.9,25.2,,23.5,17.6,20.5,,1.1,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,9.5,12.8,11.2,,20.1,29.8,24.9,,16.5,27.1,21.8,,1.3,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
