Earthquake,Record,,Rigid block (cm)Normal,Rigid block (cm)Inverse,Rigid block (cm)Average,,Decoupled (cm)Normal,Decoupled (cm)Inverse,Decoupled (cm)Average,,Coupled (cm)Normal,Coupled (cm)Inverse,Coupled (cm)Average,,kmax (g),Vs (m/s),Damping (%),k_y,scale factor,height,vs_slope,vs_base,damp_ratio,ref_strain,soil_model,si_units
"Chi-Chi, Taiwan 1999",TCU068-090,,73.5,44.9,59.2,,91.7,70.5,81.1,,91.2,68.9,80,,1.4,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,5.4,3,4.2,,18.5,18.9,18.7,,13.6,13.3,13.4,,0.9,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,133.5,110.9,122.2,,187.7,179.3,183.5,,176.6,152.7,164.7,,1.4,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,163,153.1,158,,255.6,248.8,252.2,,245.2,228.8,237,,1.4,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,1,2,1.5,,2.5,1.8,2.2,,2.4,1.9,2.1,,0.5,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,27.9,30.9,29.4,,46.9,56.1,51.5,,42.3,50.8,46.5,,1,600,0.2,0.3,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,20.7,31.5,26.1,,20.3,28.5,24.4,,21.1,26.3,23.7,,0.8,205,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,35.1,22.5,28.8,,27,20.6,23.8,,26.3,20.6,23.5,,0.7,239.4,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,7.5,6,6.8,,1.1,0.7,0.9,,1.8,1.2,1.5,,0.6,380.5,0.3,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,20.6,14.3,17.5,,13.7,8.8,11.3,,13.1,10.3,11.7,,0.6,273.3,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,3.7,2.9,3.3,,0,0,0,,0.1,0,0.1,,0.3,443.7,0.3,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,54,109.3,81.7,,75,78.7,76.8,,68,65.6,66.8,,0.9,151.8,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,14.3,16.3,15.3,,12.4,9.8,11.1,,11.4,9.7,10.5,,0.6,312.7,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,5.2,7.3,6.3,,4,4,4,,4.4,3.5,3.9,,0.7,326.3,0.3,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0.4,6.9,3.7,,5,11.8,8.4,,4.9,10,7.4,,0.6,295.4,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,16,15.6,15.8,,6.3,11.3,8.8,,6,12.1,9,,0.6,292.8,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,9.5,12.8,11.2,,6,4.2,5.1,,7.4,4.6,6,,0.7,284.3,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,73.5,44.9,59.2,,188.2,48.6,118.4,,179.4,42.7,111.1,,0.7,191.3,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,5.4,3,4.2,,0.5,0.5,0.5,,0.9,1,0.9,,0.4,410.8,0.3,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,133.5,110.9,122.2,,101.5,85,93.3,,89.6,94.8,92.2,,0.7,115.7,0.3,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,163,153.1,158,,109.2,98.8,104,,107.5,86.8,97.1,,0.8,127.6,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,1,2,1.5,,0,0.1,0,,0,0.2,0.1,,0.3,431.4,0.3,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,27.9,30.9,29.4,,61.7,54.4,58.1,,55.5,50.1,52.8,,0.7,238.2,0.4,0.3,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,12.2,14.3,13.3,,23.3,27.4,25.4,,25.1,28.8,26.9,,1,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,19.9,7.1,13.5,,50.2,29.1,39.7,,38.3,27.4,32.9,,1.2,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,3.4,2.8,3.1,,5.2,3.4,4.3,,4.3,2.7,3.5,,1,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,10.2,6.2,8.2,,24,19.9,21.9,,21.5,14,17.7,,1.4,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,1.4,1,1.2,,0.3,0,0.2,,0.4,0,0.2,,0.5,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,28.3,60.6,44.5,,52,99.8,75.9,,43.9,98.5,71.2,,1.4,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,4,6.8,5.4,,5.7,11,8.3,,4.6,10.7,7.6,,0.8,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,3.1,3.1,3.1,,4.1,8.9,6.5,,3.6,7.6,5.6,,1,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0,3.1,1.6,,0,7.5,3.8,,0,6.2,3.1,,1,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,8.4,8.7,8.5,,17.9,12.5,15.2,,14.7,10.8,12.7,,1.1,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,4.1,5.7,4.9,,10.8,16.2,13.5,,9.3,14.6,11.9,,1.3,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,4.5,24.1,14.3,,13.7,46.5,30.1,,10,45.3,27.7,,1.4,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,2.5,0.8,1.6,,7.8,7.6,7.7,,6.6,6.2,6.4,,0.9,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,69,49.8,59.4,,115.3,98.7,107,,103.1,85.4,94.2,,1.4,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,71.6,78.8,75.2,,143.7,147,145.4,,120.7,129.6,125.1,,1.4,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,0.3,0.8,0.6,,0.2,0.5,0.3,,0.3,0.6,0.5,,0.5,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,11.4,11.6,11.5,,15.7,25.4,20.6,,14.2,20.6,17.4,,1,600,0.2,0.4,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,12.2,14.3,13.3,,11.5,13.9,12.7,,12.7,13.8,13.3,,0.8,205,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,19.9,7.1,13.5,,9.7,5.2,7.5,,11.2,6.1,8.7,,0.7,239.4,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,3.4,2.8,3.1,,0.2,0,0.1,,0.5,0,0.3,,0.6,380.5,0.3,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,10.2,6.2,8.2,,5.6,1.1,3.4,,5.6,1.7,3.6,,0.6,273.3,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,1.4,1,1.2,,0,0,0,,0,0,0,,0.3,443.7,0.3,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,28.3,60.6,44.5,,34.8,40.8,37.8,,28.9,37.1,33,,0.9,151.8,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,4,6.8,5.4,,3,0.9,1.9,,3.4,1.4,2.4,,0.6,312.7,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,3.1,3.1,3.1,,1.1,0.9,1,,1.8,1.2,1.5,,0.7,326.3,0.3,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0,3.1,1.6,,0.2,4.6,2.4,,0.4,4.3,2.3,,0.6,295.4,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,8.4,8.7,8.5,,1.8,4.6,3.2,,1.9,6.1,4,,0.6,292.8,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,4.1,5.7,4.9,,2.6,0.9,1.8,,3.7,1.4,2.6,,0.7,284.3,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,4.5,24.1,14.3,,57.7,22.9,40.3,,55.5,20.6,38.1,,0.7,191.3,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,2.5,0.8,1.6,,0,0,0,,0,0,0,,0.4,410.8,0.3,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,69,49.8,59.4,,52,36.7,44.4,,50.4,47.7,49,,0.7,115.7,0.3,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,71.6,78.8,75.2,,51.7,40.8,46.3,,60.6,42.1,51.4,,0.8,127.6,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,0.3,0.8,0.6,,0,0,0,,0,0,0,,0.3,431.4,0.3,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,11.4,11.6,11.5,,21,11.7,16.3,,20.6,13.2,16.9,,0.7,238.2,0.4,0.4,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,6.8,3.5,5.2,,12.5,14.2,13.4,,15.3,13.2,14.2,,1,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,10.7,2.9,6.8,,32.5,14.3,23.4,,25.2,13.3,19.3,,1.2,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,1.5,1.5,1.5,,2.6,1.2,1.9,,2.5,1.1,1.8,,1,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,5.3,2.5,3.9,,14.7,13,13.8,,12.6,8.9,10.8,,1.4,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,0.5,0.5,0.5,,0,0,0,,0,0,0,,0.5,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,14,29.6,21.8,,28.4,59,43.7,,24.8,55.4,40.1,,1.4,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,0.9,2.7,1.8,,1.6,4.5,3.1,,1.4,4.8,3.1,,0.8,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,2,0.9,1.5,,2,5.5,3.8,,2.1,4.6,3.4,,1,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0,1.6,0.8,,0,4.4,2.2,,0,3.4,1.7,,1,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,4.5,4.2,4.3,,10.8,7.8,9.3,,9.5,6.8,8.1,,1.1,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,1.7,2.8,2.3,,6.1,10,8,,5.7,7.8,6.8,,1.3,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,1.9,10.7,6.3,,4.2,30.2,17.2,,3.7,29.4,16.5,,1.4,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,1.1,0.1,0.6,,3.1,2.8,3,,3.3,2.9,3.1,,0.9,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,32.1,16.7,24.4,,72.2,45.4,58.8,,59.7,39.4,49.6,,1.4,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,33.2,43.5,38.4,,81.2,88.4,84.8,,58.9,78.9,68.9,,1.4,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,0.1,0.3,0.2,,0,0,0,,0,0,0,,0.5,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,5.1,3.9,4.5,,5.6,12.7,9.2,,5.9,10.4,8.2,,1,600,0.2,0.5,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,6.8,3.5,5.2,,5.9,5.4,5.7,,7.5,6.2,6.8,,0.8,205,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,10.7,2.9,6.8,,3.4,0.2,1.8,,4.9,0.4,2.6,,0.7,239.4,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,1.5,1.5,1.5,,0,0,0,,0.1,0,0,,0.6,380.5,0.3,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,5.3,2.5,3.9,,1.7,0,0.9,,1.9,0,1,,0.6,273.3,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,0.5,0.5,0.5,,0,0,0,,0,0,0,,0.3,443.7,0.3,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,14,29.6,21.8,,15.6,16.6,16.1,,15.6,16.5,16.1,,0.9,151.8,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,0.9,2.7,1.8,,0.2,0,0.1,,0.5,0,0.3,,0.6,312.7,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,2,0.9,1.5,,0.4,0.1,0.2,,0.8,0.2,0.5,,0.7,326.3,0.3,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0,1.6,0.8,,0,0.8,0.4,,0,1,0.5,,0.6,295.4,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,4.5,4.2,4.3,,0.1,1.1,0.6,,0.2,1.9,1,,0.6,292.8,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,1.7,2.8,2.3,,1,0.1,0.5,,1.7,0.1,0.9,,0.7,284.3,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,1.9,10.7,6.3,,10.1,10.4,10.3,,8.4,10.3,9.3,,0.7,191.3,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,1.1,0.1,0.6,,0,0,0,,0,0,0,,0.4,410.8,0.3,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,32.1,16.7,24.4,,23.6,11.4,17.5,,25.8,17,21.4,,0.7,115.7,0.3,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,33.2,43.5,38.4,,21,13.6,17.3,,28.5,17.9,23.2,,0.8,127.6,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,0.1,0.3,0.2,,0,0,0,,0,0,0,,0.3,431.4,0.3,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,5.1,3.9,4.5,,4.7,0.9,2.8,,5.3,1.4,3.4,,0.7,238.2,0.4,0.5,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,3.4,1.3,2.4,,7.6,6.9,7.3,,7.3,6.3,6.8,,1,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,5.1,1.3,3.2,,19.9,7.6,13.7,,16,6.6,11.3,,1.2,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,0.4,0.8,0.6,,1.1,0.2,0.7,,1.4,0.2,0.8,,1,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,2.8,0.7,1.7,,9.3,8.7,9,,7.8,6.4,7.1,,1.4,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,0.2,0.2,0.2,,0,0,0,,0,0,0,,0.5,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,6.7,13.9,10.3,,14.1,32.3,23.2,,12.4,31.1,21.8,,1.4,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,0.2,1.1,0.7,,0.1,1.6,0.9,,0.2,2,1.1,,0.8,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,1.2,0.3,0.7,,1,3.4,2.2,,1.3,2.8,2.1,,1,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0,0.8,0.4,,0,2.5,1.2,,0,2.2,1.1,,1,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,2.3,1.7,2,,6.3,4.8,5.6,,5.9,4.4,5.1,,1.1,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,0.5,1.5,1,,3.1,6.5,4.8,,3.2,5.1,4.2,,1.3,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0.9,3.2,2.1,,2.4,18.9,10.7,,2.3,18.2,10.3,,1.4,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,0.5,0,0.2,,1.5,0.7,1.1,,1.8,0.9,1.3,,0.9,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,12.2,5.4,8.8,,44.6,20.1,32.4,,35.3,18.5,26.9,,1.4,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,13.4,23.4,18.4,,44.8,54.1,49.5,,31.9,49,40.5,,1.4,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,0.1,0.1,0.1,,0,0,0,,0,0,0,,0.5,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,2,1,1.5,,2,6.2,4.1,,2.5,5.7,4.1,,1,600,0.2,0.6,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,3.4,1.3,2.4,,2.5,1.2,1.8,,3.8,2,2.9,,0.8,205,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,5.1,1.3,3.2,,0.7,0,0.3,,1.2,0,0.6,,0.7,239.4,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,0.4,0.8,0.6,,0,0,0,,0,0,0,,0.6,380.5,0.3,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,2.8,0.7,1.7,,0,0,0,,0,0,0,,0.6,273.3,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,0.2,0.2,0.2,,0,0,0,,0,0,0,,0.3,443.7,0.3,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,6.7,13.9,10.3,,6.4,3.4,4.9,,8.5,4.3,6.4,,0.9,151.8,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,0.2,1.1,0.7,,0,0,0,,0,0,0,,0.6,312.7,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,1.2,0.3,0.7,,0.1,0,0,,0.2,0,0.1,,0.7,326.3,0.3,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0,0.8,0.4,,0,0,0,,0,0,0,,0.6,295.4,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,2.3,1.7,2,,0,0,0,,0,0,0,,0.6,292.8,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,0.5,1.5,1,,0.2,0,0.1,,0.6,0,0.3,,0.7,284.3,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0.9,3.2,2.1,,1.3,3,2.1,,1.7,3.6,2.7,,0.7,191.3,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,0.5,0,0.2,,0,0,0,,0,0,0,,0.4,410.8,0.3,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,12.2,5.4,8.8,,7.2,1.9,4.5,,10.3,3.7,7,,0.7,115.7,0.3,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,13.4,23.4,18.4,,7,1.9,4.5,,10.8,3.6,7.2,,0.8,127.6,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,0.1,0.1,0.1,,0,0,0,,0,0,0,,0.3,431.4,0.3,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
