Earthquake,Record,,Rigid block (cm)Normal,Rigid block (cm)Inverse,Rigid block (cm)Average,,Decoupled (cm)Normal,Decoupled (cm)Inverse,Decoupled (cm)Average,,Coupled (cm)Normal,Coupled (cm)Inverse,Coupled (cm)Average,,kmax (g),Vs (m/s),Damping (%),k_y,scale factor,height,vs_slope,vs_base,damp_ratio,ref_strain,soil_model,si_units
Nisqually 2001,UNR-058,,2,1,1.5,,0.9,0,0.5,,1.5,0,0.7,,0.7,238.2,0.4,0.6,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,1.1,0.5,0.8,,4.3,3.8,4.1,,4.2,3.8,4,,1,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,1.8,0.4,1.1,,11.5,4.1,7.8,,9.5,3.6,6.6,,1.2,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,0.1,0.4,0.2,,0.4,0,0.2,,0.7,0,0.4,,1,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,1.3,0.1,0.7,,6,5.6,5.8,,5.1,4.5,4.8,,1.4,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,0,0.1,0.1,,0,0,0,,0,0,0,,0.5,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,3.6,6.5,5,,7.3,19.8,13.6,,6.2,18.4,12.3,,1.4,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,0,0.5,0.3,,0,0.3,0.2,,0,0.5,0.3,,0.8,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,0.6,0.1,0.4,,0.4,1.8,1.1,,0.7,1.7,1.2,,1,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0,0.3,0.2,,0,1.2,0.6,,0,1.2,0.6,,1,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,1,0.5,0.8,,3.6,2.7,3.2,,3.5,2.7,3.1,,1.1,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,0,0.7,0.3,,1.4,4.4,2.9,,1.6,3.8,2.7,,1.3,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0.4,0.3,0.3,,1.2,12.1,6.7,,1.3,11,6.2,,1.4,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,0.2,0,0.1,,0.7,0,0.4,,1.1,0.1,0.6,,0.9,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,3.4,2.1,2.8,,26,10.7,18.3,,20.3,9.3,14.8,,1.4,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,3.6,10.9,7.2,,22.3,31.6,26.9,,16.4,28.5,22.4,,1.4,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.5,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,0.8,0.1,0.4,,0.7,2.5,1.6,,1.1,2.6,1.8,,1,600,0.2,0.7,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,1.1,0.5,0.8,,0.5,0.1,0.3,,1.3,0.2,0.7,,0.8,205,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,1.8,0.4,1.1,,0,0,0,,0,0,0,,0.7,239.4,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,0.1,0.4,0.2,,0,0,0,,0,0,0,,0.6,380.5,0.3,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,1.3,0.1,0.7,,0,0,0,,0,0,0,,0.6,273.3,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,0,0.1,0.1,,0,0,0,,0,0,0,,0.3,443.7,0.3,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,3.6,6.5,5,,1.9,0,1,,3.4,0,1.7,,0.9,151.8,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,0,0.5,0.3,,0,0,0,,0,0,0,,0.6,312.7,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,0.6,0.1,0.4,,0,0,0,,0,0,0,,0.7,326.3,0.3,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0,0.3,0.2,,0,0,0,,0,0,0,,0.6,295.4,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,1,0.5,0.8,,0,0,0,,0,0,0,,0.6,292.8,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,0,0.7,0.3,,0,0,0,,0,0,0,,0.7,284.3,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0.4,0.3,0.3,,0,0,0,,0,0.1,0,,0.7,191.3,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,0.2,0,0.1,,0,0,0,,0,0,0,,0.4,410.8,0.3,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,3.4,2.1,2.8,,0.4,0,0.2,,1,0,0.5,,0.7,115.7,0.3,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,3.6,10.9,7.2,,1.5,0,0.7,,3,0,1.5,,0.8,127.6,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.3,431.4,0.3,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,0.8,0.1,0.4,,0,0,0,,0,0,0,,0.7,238.2,0.4,0.7,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,0.3,0.1,0.2,,2.1,2,2,,1.9,1.9,1.9,,1,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,0.4,0,0.2,,6.3,2.2,4.2,,5.4,2.1,3.7,,1.2,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,0,0.2,0.1,,0.1,0,0.1,,0.3,0,0.2,,1,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,0.5,0,0.3,,4,3.3,3.6,,3.5,3,3.3,,1.4,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,0,0,0,,0,0,0,,0,0,0,,0.5,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,1.5,2.2,1.8,,4,12.4,8.2,,3.5,11.1,7.3,,1.4,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,0,0.2,0.1,,0,0,0,,0,0,0,,0.8,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,0.2,0,0.1,,0.1,0.8,0.5,,0.3,0.8,0.6,,1,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0,0.1,0,,0,0.4,0.2,,0,0.5,0.3,,1,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,0.4,0.1,0.2,,1.8,1.3,1.5,,2,1.5,1.8,,1.1,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,0,0.2,0.1,,0.5,3,1.7,,0.7,2.8,1.7,,1.3,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0.1,0,0.1,,0.5,7.8,4.1,,0.6,6.5,3.6,,1.4,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,0,0,0,,0.3,0,0.1,,0.5,0,0.2,,0.9,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,0.4,0.6,0.5,,13.7,5.9,9.8,,10.7,5.4,8.1,,1.4,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,0.3,3.4,1.8,,9.3,17.2,13.3,,7.9,15.3,11.6,,1.4,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.5,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,0.3,0,0.2,,0.2,0.7,0.5,,0.4,1,0.7,,1,600,0.2,0.8,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,0.3,0.1,0.2,,0,0,0,,0,0,0,,0.8,205,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,0.4,0,0.2,,0,0,0,,0,0,0,,0.7,239.4,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,0,0.2,0.1,,0,0,0,,0,0,0,,0.6,380.5,0.3,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,0.5,0,0.3,,0,0,0,,0,0,0,,0.6,273.3,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,0,0,0,,0,0,0,,0,0,0,,0.3,443.7,0.3,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,1.5,2.2,1.8,,0.2,0,0.1,,0.6,0,0.3,,0.9,151.8,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,0,0.2,0.1,,0,0,0,,0,0,0,,0.6,312.7,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,0.2,0,0.1,,0,0,0,,0,0,0,,0.7,326.3,0.3,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0,0.1,0,,0,0,0,,0,0,0,,0.6,295.4,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,0.4,0.1,0.2,,0,0,0,,0,0,0,,0.6,292.8,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,0,0.2,0.1,,0,0,0,,0,0,0,,0.7,284.3,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0.1,0,0.1,,0,0,0,,0,0,0,,0.7,191.3,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,0,0,0,,0,0,0,,0,0,0,,0.4,410.8,0.3,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,0.4,0.6,0.5,,0,0,0,,0,0,0,,0.7,115.7,0.3,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,0.3,3.4,1.8,,0,0,0,,0,0,0,,0.8,127.6,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.3,431.4,0.3,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,0.3,0,0.2,,0,0,0,,0,0,0,,0.7,238.2,0.4,0.8,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,0.1,0,0,,0.6,0.6,0.6,,0.9,0.9,0.9,,1,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,0.1,0,0,,3.1,1,2.1,,2.9,1.1,2,,1.2,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,0,0,0,,0,0,0,,0.1,0,0,,1,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,0.1,0,0.1,,2.6,1.8,2.2,,2.5,1.9,2.2,,1.4,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,0,0,0,,0,0,0,,0,0,0,,0.5,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,0.4,0.1,0.3,,1.8,7.5,4.7,,1.7,6.3,4,,1.4,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,0,0.1,0,,0,0,0,,0,0,0,,0.8,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,0,0,0,,0,0.2,0.1,,0,0.2,0.1,,1,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0,0,0,,0,0,0,,0,0.1,0.1,,1,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,0.1,0,0,,0.6,0.5,0.5,,0.9,0.6,0.8,,1.1,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,0,0,0,,0.1,1.8,0.9,,0.1,2,1,,1.3,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0,0,0,,0.1,4.8,2.4,,0.1,3.7,1.9,,1.4,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,0,0,0,,0,0,0,,0.1,0,0,,0.9,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,0,0,0,,6.5,3.3,4.9,,5.7,3.1,4.4,,1.4,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,0,0.8,0.4,,3.4,8.9,6.2,,3.6,7.9,5.7,,1.4,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.5,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,0.1,0,0,,0,0.1,0,,0.1,0.2,0.1,,1,600,0.2,0.9,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,0.1,0,0,,0,0,0,,0,0,0,,0.8,205,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,0.1,0,0,,0,0,0,,0,0,0,,0.7,239.4,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,0,0,0,,0,0,0,,0,0,0,,0.6,380.5,0.3,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,0.1,0,0.1,,0,0,0,,0,0,0,,0.6,273.3,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,0,0,0,,0,0,0,,0,0,0,,0.3,443.7,0.3,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,0.4,0.1,0.3,,0,0,0,,0,0,0,,0.9,151.8,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,0,0.1,0,,0,0,0,,0,0,0,,0.6,312.7,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,0,0,0,,0,0,0,,0,0,0,,0.7,326.3,0.3,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0,0,0,,0,0,0,,0,0,0,,0.6,295.4,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,0.1,0,0,,0,0,0,,0,0,0,,0.6,292.8,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,0,0,0,,0,0,0,,0,0,0,,0.7,284.3,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0,0,0,,0,0,0,,0,0,0,,0.7,191.3,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,0,0,0,,0,0,0,,0,0,0,,0.4,410.8,0.3,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,0,0,0,,0,0,0,,0,0,0,,0.7,115.7,0.3,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,0,0.8,0.4,,0,0,0,,0,0,0,,0.8,127.6,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.3,431.4,0.3,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,0.1,0,0,,0,0,0,,0,0,0,,0.7,238.2,0.4,0.9,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Cape Mendocino 1992,PET-090,,0,0,0,,0,0,0,,0,0.1,0.1,,1,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coalinga 1983,PVB-045,,0,0,0,,1.1,0.3,0.7,,1.3,0.5,0.9,,1.2,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Coyote Lake 1979,G02-050,,0,0,0,,0,0,0,,0,0,0,,1,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Imperial Valley 1979,BCR-230,,0,0,0,,1.6,1,1.3,,1.7,1.1,1.4,,1.4,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Landers 1992,LCN-345,,0,0,0,,0,0,0,,0,0,0,,0.5,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Loma Prieta 1989,HSP-000,,0,0,0,,0.5,4.3,2.4,,0.6,3.4,2,,1.4,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-1 1980,CVK-090,,0,0,0,,0,0,0,,0,0,0,,0.8,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Mammoth Lakes-2 1980,CVK-090,,0,0,0,,0,0,0,,0,0,0,,1,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Morgan Hill 1984,CYC-285,,0,0,0,,0,0,0,,0,0,0,,1,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
N. Palm Springs 1986,WWT-180,,0,0,0,,0.1,0.1,0.1,,0.2,0.1,0.2,,1.1,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Northridge 1994,VSP-360,,0,0,0,,0,1,0.5,,0,1.3,0.6,,1.3,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0,0,0,,0,2.7,1.4,,0,2.3,1.1,,1.4,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Duzce, Turkey 1999",375-090,,0,0,0,,0,0,0,,0,0,0,,0.9,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kobe, Japan 1995",TAK-090,,0,0,0,,2.9,1.8,2.3,,2.9,1.8,2.4,,1.4,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Kocaeli, Turkey 1999",ATS-090,,0,0,0,,1.1,4.5,2.8,,1.4,3.6,2.5,,1.4,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.5,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Nisqually 2001,UNR-058,,0,0,0,,0,0,0,,0,0,0,,1,600,0.2,1,uniform to 1 g,50,600,600,5,0.05,linear_elastic,metric
Cape Mendocino 1992,PET-090,,0,0,0,,0,0,0,,0,0,0,,0.8,205,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coalinga 1983,PVB-045,,0,0,0,,0,0,0,,0,0,0,,0.7,239.4,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Coyote Lake 1979,G02-050,,0,0,0,,0,0,0,,0,0,0,,0.6,380.5,0.3,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Imperial Valley 1979,BCR-230,,0,0,0,,0,0,0,,0,0,0,,0.6,273.3,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Landers 1992,LCN-345,,0,0,0,,0,0,0,,0,0,0,,0.3,443.7,0.3,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Loma Prieta 1989,HSP-000,,0,0,0,,0,0,0,,0,0,0,,0.9,151.8,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-1 1980,CVK-090,,0,0,0,,0,0,0,,0,0,0,,0.6,312.7,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Mammoth Lakes-2 1980,CVK-090,,0,0,0,,0,0,0,,0,0,0,,0.7,326.3,0.3,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Morgan Hill 1984,CYC-285,,0,0,0,,0,0,0,,0,0,0,,0.6,295.4,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
N. Palm Springs 1986,WWT-180,,0,0,0,,0,0,0,,0,0,0,,0.6,292.8,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Northridge 1994,VSP-360,,0,0,0,,0,0,0,,0,0,0,,0.7,284.3,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Chi-Chi, Taiwan 1999",TCU068-090,,0,0,0,,0,0,0,,0,0,0,,0.7,191.3,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Duzce, Turkey 1999",375-090,,0,0,0,,0,0,0,,0,0,0,,0.4,410.8,0.3,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kobe, Japan 1995",TAK-090,,0,0,0,,0,0,0,,0,0,0,,0.7,115.7,0.3,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Kocaeli, Turkey 1999",ATS-090,,0,0,0,,0,0,0,,0,0,0,,0.8,127.6,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
"Nahanni, Canada 1985",NS1-280,,0,0,0,,0,0,0,,0,0,0,,0.3,431.4,0.3,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric
Nisqually 2001,UNR-058,,0,0,0,,0,0,0,,0,0,0,,0.7,238.2,0.4,1,uniform to 1 g,50,600,600,5,0.05,equivalent_linear,metric